#Aegean version 2.3.0-(2022-08-17)
# on dataset: NGC6822_A+B.comb_spw.wt_nbcont.image.fits
#isl,src   bkg       rms         RA           DEC         RA         err         DEC        err         Peak      err     S_int     err        a    err    b    err     pa   err    flags
#         Jy/beam   Jy/beam                               deg        deg         deg        deg       Jy/beam   Jy/beam    Jy       Jy         ''    ''    ''    ''    deg   deg   ZWNCPES
#============================================================================================================================================================================================
(0039,00)  0.000001  0.000044 19:44:30.89  -14:48:26.01 296.1287123  0.0000445 -14.8072261  0.0000837  0.000301  0.000043  0.000387  0.000072  4.11  0.41  2.40  0.17   -5.2   0.1   0000000
(0040,00) -0.000004  0.000046 19:45:14.86  -14:48:17.39 296.3119253  0.0000030 -14.8048309  0.0000025  0.008310  0.000047  0.010228  0.000071  3.61  0.01  2.62  0.01   -5.5   0.0   0000000
(0040,01) -0.000004  0.000046 19:45:14.66  -14:48:17.52 296.3110985  0.0000030 -14.8048679  0.0000025  0.006124  0.000047  0.007176  0.000062  3.58  0.01  2.51  0.01   -5.6   0.0   0000000
(0041,00) -0.000004  0.000048 19:43:17.19  -14:47:44.38 295.8216068  0.0000451 -14.7956601  0.0000256  0.000661  0.000030  0.003117  0.000192  7.76  0.09  4.68  0.18   85.7   0.1   0000000
(0043,00) -0.000005  0.000052 19:45:49.08  -14:47:28.49 296.4545055  0.0000292 -14.7912474  0.0000320  0.000617  0.000049  0.000712  0.000066  3.20  0.10  2.77  0.10   -4.8   0.3   0000000
(0044,00)  0.000008  0.000031 19:46:29.99  -14:47:23.33 296.6249546  0.0001323 -14.7898144  0.0000889  0.000172  0.000028  0.000440  0.000122  4.98  0.46  3.96  0.81   89.4   1.3   0000000
(0045,00)  0.000002  0.000051 19:45:45.10  -14:47:03.18 296.4379019  0.0000505 -14.7842168  0.0000666  0.000389  0.000047  0.000681  0.000104  4.32  0.26  3.11  0.22   -5.1   0.2   0000000
(0046,00)  0.000003  0.000057 19:44:53.42  -14:46:34.72 296.2225899  0.0000603 -14.7763114  0.0000754  0.000328  0.000051  0.000328  0.000051  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0047,00)  0.000011  0.000056 19:46:05.58  -14:46:17.17 296.5232300  0.0000137 -14.7714368  0.0000111  0.001935  0.000043  0.004995  0.000132  4.81  0.04  4.13  0.05   81.8   0.1   0000000
(0048,00)  0.000002  0.000041 19:43:27.92  -14:45:06.02 295.8663522  0.0001793 -14.7516734  0.0001023  0.000225  0.000035  0.000826  0.000267  5.97  0.56  4.73  1.26   79.6   1.4   0000000
(0049,00) -0.000006  0.000042 19:43:25.77  -14:45:01.42 295.8573768  0.0000694 -14.7503950  0.0000453  0.000355  0.000033  0.000997  0.000129  5.44  0.17  3.96  0.33   85.7   0.4   0000000
(0050,00) -0.000000  0.000041 19:43:32.68  -14:44:51.38 295.8861553  0.0002267 -14.7476059  0.0000874  0.000233  0.000035  0.000820  0.000310  6.36  0.44  4.24  1.44   85.3   0.7   0000000
(0051,00)  0.000016  0.000047 19:45:43.09  -14:44:42.38 296.4295280  0.0000560 -14.7451045  0.0000722  0.000299  0.000047  0.000355  0.000071  3.51  0.30  2.60  0.23   -3.3   0.3   0000000
(0053,00)  0.000003  0.000043 19:44:03.94  -14:44:12.17 296.0164105  0.0000174 -14.7367141  0.0000205  0.000896  0.000038  0.001452  0.000072  3.89  0.07  3.21  0.06   -6.2   0.1   0000000
(0054,00) -0.000004  0.000061 19:44:53.45  -14:43:46.90 296.2227021  0.0000780 -14.7296956  0.0001580  0.000327  0.000058  0.000648  0.000187  5.38  0.84  2.83  0.46   -3.2   0.3   0000000
(0055,00)  0.000015  0.000069 19:44:52.81  -14:43:11.63 296.2200269  0.0000233 -14.7198965  0.0000181  0.001534  0.000044  0.006622  0.000233  6.30  0.06  5.27  0.09   85.7   0.1   0000000
(0056,00)  0.000027  0.000059 19:45:04.97  -14:43:13.13 296.2706885  0.0001309 -14.7203125  0.0001188  0.000311  0.000056  0.000655  0.000208  4.20  0.61  3.86  0.83   -5.7   2.6   0000000
(0057,00) -0.000000  0.000039 19:45:59.25  -14:43:02.70 296.4968586  0.0000314 -14.7174156  0.0000194  0.000671  0.000029  0.001817  0.000102  5.52  0.06  3.77  0.13   83.7   0.1   0000000
(0058,00) -0.000012  0.000036 19:46:04.57  -14:42:45.65 296.5190621  0.0001334 -14.7126799  0.0002984  0.000177  0.000028  0.001101  0.000359 10.60  2.24  4.50  0.86   -4.6   0.1   0000000
(0059,00) -0.000011  0.000045 19:44:27.99  -14:42:11.13 296.1166110  0.0000411 -14.7030905  0.0000502  0.000393  0.000044  0.000433  0.000060  3.43  0.17  2.47  0.16   -6.3   0.2   0000000
(0060,00)  0.000004  0.000052 19:44:40.87  -14:40:45.08 296.1702746  0.0000089 -14.6791902  0.0000118  0.002129  0.000044  0.004266  0.000104  4.55  0.04  3.39  0.03   -8.3   0.0   0000000
(0061,00)  0.000002  0.000057 19:45:22.56  -14:40:22.74 296.3440114  0.0000150 -14.6729829  0.0000205  0.001199  0.000054  0.001438  0.000075  3.57  0.07  2.59  0.05   -5.5   0.1   0000000
(0062,00) -0.000000  0.000065 19:45:05.96  -14:38:40.21 296.2748150  0.0001813 -14.6445014  0.0002825  0.000351  0.000063  0.001071  0.000690  6.33  2.04  3.70  1.95   -2.1   0.6   0000000
(0063,00) -0.000003  0.000047 19:44:12.88  -14:38:35.71 296.0536869  0.0000745 -14.6432515  0.0001340  0.000273  0.000043  0.000685  0.000162  6.00  0.74  3.21  0.41   -6.8   0.1   0000000
(0064,00)  0.000000  0.000067 19:45:06.61  -14:38:02.95 296.2775317  0.0000560 -14.6341534  0.0000697  0.000429  0.000060  0.000429  0.000060  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0065,00) -0.000003  0.000054 19:45:02.89  -14:37:58.63 296.2620445  0.0000691 -14.6329532  0.0000710  0.000331  0.000052  0.000475  0.000097  3.50  0.29  3.15  0.31   -9.6   1.2   0000000
(0066,00) -0.000007  0.000062 19:45:10.46  -14:37:55.46 296.2935697 -1.0000000 -14.6320735 -1.0000000  0.000343      nan  0.000343 -1.000000  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0067,00) -0.000004  0.000046 19:44:05.16  -14:37:41.01 296.0215146  0.0000275 -14.6280581  0.0000281  0.000678  0.000041  0.001187  0.000084  3.82  0.09  3.52  0.10  -11.9   0.5   0000000
(0068,00) -0.000010  0.000063 19:45:09.87  -14:37:33.52 296.2911194  0.0000560 -14.6259774  0.0000669  0.000397  0.000056  0.000397  0.000056  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0069,00)  0.000007  0.000046 19:43:34.05  -14:37:28.35 295.8918736  0.0001065 -14.6245422  0.0000629  0.000298  0.000039  0.000838  0.000178  5.50  0.29  3.93  0.63   83.1   0.5   0000000
(0071,00)  0.000004  0.000076 19:45:07.30  -14:37:19.97 296.2804117  0.0014195 -14.6222132  0.0004827  0.000471  0.000254  0.002255  0.002395  6.78  1.29  5.42  4.86   -1.3   2.4   0000000
(0072,00) -0.000006  0.000067 19:45:09.31  -14:37:18.47 296.2888021       nan -14.6217964       nan  0.000409  1981.601413  0.000409  1981.601413  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0073,00)  0.000009  0.000068 19:45:06.24  -14:37:16.57 296.2759918 -1.0000000 -14.6212700 -1.0000000  0.000450      nan  0.000450 -1.000000  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0074,00)  0.000002  0.000051 19:45:47.94  -14:37:14.40 296.4497376  0.0000701 -14.6206655  0.0000794  0.000379  0.000041  0.001318  0.000191  5.75  0.36  4.66  0.33  -20.6   0.5   0000000
(0075,00) -0.000010  0.000060 19:45:50.09  -14:37:05.06 296.4587291  0.0000417 -14.6180722  0.0000449  0.000671  0.000044  0.002511  0.000201  5.68  0.17  5.06  0.17   -5.0   0.4   0000000
(0076,00)  0.000006  0.000085 19:45:07.64  -14:37:05.55 296.2818311  0.0000567 -14.6182081  0.0000690  0.000525  0.000076  0.000525  0.000076  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0078,00)  0.000008  0.000089 19:45:07.73  -14:36:58.98 296.2822138  0.0000517 -14.6163822  0.0000623  0.000602  0.000079  0.000602  0.000079  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0079,00)  0.000009  0.000090 19:45:07.87  -14:36:53.55 296.2828098  0.0000811 -14.6148748  0.0000673  0.000601  0.000088  0.000601  0.000088  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000100
(0081,00)  0.000008  0.000087 19:45:08.17  -14:36:49.94 296.2840397       nan -14.6138729       nan  0.000514  4761.045030  0.000514  4761.045030  3.26 -1.00  2.36 -1.00   -5.6  -1.0   0000101
(0082,00)  0.000005  0.000033 19:46:33.92  -14:36:46.63 296.6413465  0.0001810 -14.6129528  0.0000635  0.000152  0.000051  0.000247  0.000101  4.90  0.22  2.55  0.58   82.8   0.3   0000000
(0082,01)  0.000006  0.000034 19:46:33.75  -14:36:46.01 296.6406181  0.0001810 -14.6127801  0.0000635  0.000226  0.000051  0.002359  0.000569 11.26  0.22  7.14  0.58   85.2   0.3   0000000
(0083,00)  0.000009  0.000086 19:45:08.13  -14:36:41.88 296.2838663  0.0000015 -14.6116341  0.0000016  0.021195  0.000081  0.028321  0.000126  3.43  0.01  2.99  0.00   -4.8   0.0   0000000
(0084,00)  0.000007  0.000086 19:45:07.01  -14:36:36.64 296.2792155  0.0000026 -14.6101791  0.0000029  0.011968  0.000081  0.015993  0.000125  3.43  0.01  2.99  0.01   -6.5   0.0   0000000
(0087,00) -0.000004  0.000050 19:45:44.41  -14:36:11.63 296.4350315  0.0000388 -14.6032310  0.0000396  0.000545  0.000041  0.001218  0.000111  4.29  0.14  4.00  0.15   -4.8   0.8   0000000
(0089,00) -0.000014  0.000057 19:45:32.32  -14:35:36.60 296.3846667  0.0005060 -14.5934991  0.0022744  0.000313  0.001109  0.001200  0.004291  7.25  2.80  4.07  1.16   -2.6   0.2   0000000
(0089,01) -0.000014  0.000057 19:45:32.18  -14:35:40.34 296.3840890  0.0005060 -14.5945378  0.0022745  0.000221  0.001109  0.001117  0.005627  7.59  2.79  5.12  1.16   -4.3   0.3   0000000
(0092,00) -0.000005  0.000038 19:42:56.46  -14:35:16.19 295.7352585  0.0048431 -14.5878314  0.0006103  0.000178  0.001069  0.000982  0.006041  7.05  1.71  6.01  8.08   83.4   5.0   0000000
(0092,01) -0.000005  0.000038 19:42:56.09  -14:35:15.64 295.7336953  0.0048431 -14.5876770  0.0006103  0.000167  0.001069  0.001086  0.007061  7.59  1.72  6.56  8.10   85.3   4.9   0000000
(0093,00) -0.000013  0.000060 19:45:33.10  -14:34:55.26 296.3879040  0.0002760 -14.5820174  0.0004664  0.000286  0.000053  0.001248  0.000605  9.33  3.10  3.60  1.08   -2.7   0.3   0000000
